,id_acidente,id_vitima,id_veiculo,sexo,idade,tipo_vitima,classificacao,tipo_veiculo,estado_alcoolizacao,escolaridade,data_obito,data_ocorrencia,latitude_x,longitude_x,end_x,geocode_x,cadloga,cadlogb,alt_num,referencia,data,cod_acid,dp,talao,feridos,mortos,distrito_atz,princ_a,princ_b,tipo_acidente,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_info,carroca,latitude_y,longitude_y,end_y,geocode_y,flag_cruzamento
285,D111300612,1,2.0,F,49,CD,F,BI,BR,7,,2013-11-02 11:15,-23.5946,-46.68036,AV BRIG FARIA LIMA AND RUA ELVIRA FERRAZ,MapInfo CET,6897,6396.0,,,2013-11-02 11:15,2,15,5283,1,0,SO1,6396.0,6897.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.594604,-46.680363,AV BRIG FARIA LIMA X RUA ELVIRA FERRAZ,MapInfo CET,True
286,D111301093,2,1.0,F,26,PS,F,MO,BR,8,,2013-11-13 10:50,-23.492060000000002,-46.69044,AV JOAO PAULO I AND RUA PROF LUIS SANCHES,MapInfo CET,34562,63138.0,,,2013-11-13 10:50,2,28,6025,3,0,NO2,34562.0,63138.0,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.492065,-46.690442,AV JOAO PAULO I X RUA PROF LUIS SANCHES,MapInfo CET,True
287,D111301183,1,1.0,F,33,CD,F,BI,BR,3,,2013-11-27 00:00,-23.50571,-46.6731,AV PROF CELESTINO BOURROUL AND RUA CEL MARIO DE AZEVEDO,MapInfo CET,4715,13465.0,,,2013-11-27 00:00,2,40,13571,1,0,NO2,4715.0,13465.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.505710999999998,-46.673107,AV PROF CELESTINO BOURROUL X RUA CEL MARIO DE AZEVEDO,MapInfo CET,True
288,D111301403,1,1.0,F,28,PS,F,BI,BR,8,,2013-11-28 17:30,-23.550520000000002,-46.53324,"AV CONS CARRAO, 2885",MapInfo CET,4502,,2885,,2013-11-28 17:30,4,31,7783,1,0,SE1,4502.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.550525,-46.533245,"AV CONS CARRAO, 2885",MapInfo CET,False
289,D111301598,1,1.0,F,53,CD,F,BI,BR,3,,2013-11-06 09:00,-23.71346,-46.70552,AV PROF PAPINI AND RUA CAMBUCI DO VALE,MapInfo CET,15405,3962.0,,,2013-11-06 09:00,2,48,4364,1,0,SU3,8781.0,15405.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.713466,-46.705527000000004,AV PROF PAPINI X RUA CAMBUCI DO VALE,MapInfo CET,True
290,D111302082,1,1.0,F,33,CD,F,BI,BR,3,,2013-11-14 17:22,-23.54978,-46.50009,"AV ITAQUERA, 2605",MapInfo CET,9580,,2605,,2013-11-14 17:22,2,66,8819,1,0,LE2,9580.0,,CO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-23.549782,-46.50009,"AV ITAQUERA, 2605",MapInfo CET,False
291,D121300194,2,3.0,F,26,CD,F,BI,BR,5,,2013-12-08 14:30,-23.573520000000002,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,12165,,3172,,2013-12-08 14:30,2,78,11526,4,0,SO1,12165.0,,CO,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-23.573528,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,False
292,D121300194,3,4.0,F,22,CD,F,BI,BR,5,,2013-12-08 14:30,-23.573520000000002,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,12165,,3172,,2013-12-08 14:30,2,78,11526,4,0,SO1,12165.0,,CO,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-23.573528,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,False
293,D121300194,4,5.0,F,20,CD,F,BI,BR,6,,2013-12-08 14:30,-23.573520000000002,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,12165,,3172,,2013-12-08 14:30,2,78,11526,4,0,SO1,12165.0,,CO,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-23.573528,-46.655120000000004,"AV BRIG LUIS ANTONIO, 3172",MapInfo CET,False
294,D121300230,1,1.0,F,29,PD,F,BI,BR,5,,2013-12-23 09:18,-23.621579999999998,-46.620709999999995,"AV DO CURSINO, 2250",MapInfo CET,5618,,2250,,2013-12-23 09:18,4,16,18134,1,0,SU1,5618.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.621588,-46.620711,"AV DO CURSINO, 2250",MapInfo CET,False
295,D121300552,1,2.0,F,61,CD,F,BI,BR,7,,2013-12-22 11:28,-23.579320000000003,-46.676970000000004,"AV NOVE DE JULHO, 5400",MapInfo CET,14804,,5400,,2013-12-22 11:28,2,15,13446,1,0,SO1,14804.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.579321,-46.676978000000005,"AV NOVE DE JULHO, 5400",MapInfo CET,False
296,D121300705,1,2.0,F,09,CD,F,BI,BR,2,,2013-12-28 16:30,-23.64292,-46.766709999999996,"RUA MONFORTE DE LEMOS, 119",MapInfo CET,76341,,119,,2013-12-28 16:30,2,37,12392,1,0,OE3,76341.0,,CO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-23.642927,-46.766718,"RUA MONFORTE DE LEMOS, 119",MapInfo CET,False
297,D121300969,1,1.0,F,15,CD,F,BI,BR,5,,2013-12-14 15:00,-23.522579999999998,-46.59288,RUA ALCANTARA AND AV GUILHERME COTCHING,MapInfo CET,541,8478.0,,,2013-12-14 15:00,2,19,12431,1,0,CN2,541.0,8478.0,CO,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-23.522585999999997,-46.592883,RUA ALCANTARA X AV GUILHERME COTCHING,MapInfo CET,True
298,D121301153,2,1.0,F,14,PS,F,BI,BR,2,,2013-12-24 21:50,-23.47975,-46.56739,"RUA BASILIO ALVES MORANGO, 1300",MapInfo CET,4118,,1300,,2013-12-24 21:50,2,73,13966,2,0,CN2,4118.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.479759,-46.567397,"RUA BASILIO ALVES MORANGO, 1300",MapInfo CET,False
299,D011400790,1,1.0,F,45,PD,F,BI,BR,2,,2014-01-15 21:00,-23.49771,-46.605340000000005,"RUA PIATA, 585",MapInfo CET,16201,,585,,2014-01-15 21:00,4,9,552,1,0,CN2,16201.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.497715,-46.605340999999996,"RUA PIATA, 585",MapInfo CET,False
300,D011400911,2,2.0,F,28,PS,F,BI,BR,5,,2014-01-06 15:45,-23.48328,-46.57121,"AV ANTENOR NAVARRO, 820",MapInfo CET,4749,,820,,2014-01-06 15:45,2,39,79,2,0,CN2,4749.0,,CO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-23.483288,-46.571214000000005,"AV ANTENOR NAVARRO, 820",MapInfo CET,False
301,D011401190,1,1.0,F,47,CD,F,BI,BR,3,,2014-01-16 19:30,-23.65173,-46.67892,"AV WASHINGTON LUIS, 3073",MapInfo CET,19931,,3073,,2014-01-16 19:30,2,11,716,1,0,SU2,19931.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.651730999999998,-46.678923,"AV WASHINGTON LUIS, 3073",MapInfo CET,False
302,D011401792,1,2.0,F,15,CD,M,BI,BR,5,2014-05-02,2014-01-30 20:20,-23.43451,-46.71332,RUA FRAGATA CONSTITUICAO AND RUA CONCEICAO DE JAGUARI,MapInfo CET,62397,74301.0,,,2014-01-30 20:20,2,77,469,0,1,NO2,62397.0,74301.0,CL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.434515,-46.713328000000004,RUA FRAGATA CONSTITUICAO X RUA CONCEICAO DE JAGUARI,MapInfo CET,True
303,D021400011,2,2.0,F,19,PS,F,MO,BR,5,,2014-02-06 09:15,-23.54409,-46.63366,"RUA FLORENCIO DE ABREU, ",MapInfo CET,7204,,,NC,2014-02-06 09:15,2,1,1082,2,0,CN3,7204.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.544095000000002,-46.633668,RUA FLORENCIO DE ABREU,MapInfo CET,False
304,D021400248,2,1.0,F,16,PS,F,BI,BR,4,,2014-02-18 18:30,-23.62001,-46.62438,"RUA OSCAR BRESSANE, 102",MapInfo CET,15096,,102,,2014-02-18 18:30,2,16,1771,2,0,SU1,15096.0,,QM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.620014,-46.624389,"RUA OSCAR BRESSANE, 102",MapInfo CET,False
305,D021400315,1,3.0,F,45,CD,F,BI,BR,8,,2014-02-20 19:27,-23.6441,-46.67281,AV PROF VICENTE RAO AND AV WASHINGTON LUIS,MapInfo CET,26500,19931.0,,,2014-02-20 19:27,2,27,1815,1,0,SU2,19931.0,26500.0,CO,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.644103,-46.672810999999996,AV PROF VICENTE RAO X AV WASHINGTON LUIS,MapInfo CET,True
306,D021400356,1,2.0,F,26,CD,F,BI,BR,7,,2014-02-03 07:40,-23.5699,-46.64819,RUA MARIA FIGUEIREDO AND ALAMEDA SANTOS,MapInfo CET,13248,17791.0,,,2014-02-03 07:40,2,36,392,1,0,OE1,13248.0,17791.0,CL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.569901,-46.648194000000004,RUA MARIA FIGUEIREDO X ALAMEDA SANTOS,MapInfo CET,True
307,D021400665,1,2.0,F,SI,CD,F,BI,BR,8,,2014-02-14 13:00,-23.64239,-46.7471, AND RUA MANUEL DE OLIVEIRA FALCAO,MapInfo CET,99949,12677.0,,,2014-02-14 13:00,2,37,574,1,0,SO3,12677.0,99949.0,CO,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-23.642398999999997,-46.747104, X RUA MANUEL DE OLIVEIRA FALCAO,MapInfo CET,True
308,D021401462,1,2.0,F,59,PD,F,AU,BR,3,,2014-02-23 19:14,-23.67912,-46.738279999999996,"RUA ANTONIO VIEIRA MISTURA, 290",MapInfo CET,21890,,290,,2014-02-23 19:14,4,92,900071,2,0,SO4,21890.0,,AT,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.679126,-46.738282,"RUA ANTONIO VIEIRA MISTURA, 290",MapInfo CET,False
309,D021401528,2,1.0,F,11,PD,F,BI,BR,8,,2014-02-06 18:34,-23.68775,-46.76153,"RUA DOS COMPASSOS, 507",MapInfo CET,68485,,507,,2014-02-06 18:34,4,100,1540,2,0,SO4,68485.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.687752,-46.761536,"RUA DOS COMPASSOS, 507",MapInfo CET,False
310,D021401591,1,1.0,F,18,CD,F,BI,BR,5,,2014-02-12 07:05,-23.491670000000003,-46.42188,RUA CONCEICAO DO ALMEIDA AND AV VALLE,MapInfo CET,15244,19469.0,,,2014-02-12 07:05,2,22,521,2,0,LE3,15244.0,19469.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.491674,-46.421882000000004,RUA CONCEICAO DO ALMEIDA X AV VALLE,MapInfo CET,True
311,D021401929,1,1.0,F,34,CD,M,BI,BR,3,2014-02-13,2014-02-13 16:15,-23.46803,-46.5746,"RUA LOPES DA COSTA, 191",MapInfo CET,11982,,191,,2014-02-13 16:15,2,73,1694,0,1,CN2,11982.0,,CL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.468033,-46.574601,"RUA LOPES DA COSTA, 191",MapInfo CET,False
312,D031400079,1,1.0,F,34,CD,F,BI,BR,7,,2014-03-07 06:30,-23.553520000000002,-46.642109999999995,RUA ABOLICAO AND RUA COMEN JOSE XAVIER GOUVEIA,MapInfo CET,58,60.0,,,2014-03-07 06:30,2,5,1154,1,0,CN3,58.0,60.0,QM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-23.553522,-46.642115999999994,RUA ABOLICAO X RUA COMEN JOSE XAVIER GOUVEIA,MapInfo CET,True
313,D031400276,1,2.0,F,11,PS,F,BI,BR,1,,2014-03-31 18:49,-23.595370000000003,-46.60091,"RUA SILVA BUENO, 1906",MapInfo CET,18172,,1906,,2014-03-31 18:49,2,17,2842,1,0,SU1,18172.0,,CT,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.595371,-46.600910999999996,"RUA SILVA BUENO, 1906",MapInfo CET,False
314,D031400312,1,1.0,F,31,CD,F,BI,BR,7,,2014-03-07 11:25,-23.61309,-46.66355,ALAMEDA DOS ANAPURUS AND AV MIRUNA,MapInfo CET,1229,14050.0,,,2014-03-07 11:25,2,27,2293,1,0,SO1,1229.0,14050.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.613096,-46.663551,ALAMEDA DOS ANAPURUS X AV MIRUNA,MapInfo CET,True
